AGENCY,STATION NAME,TYPE OF CHARGER,NO. OF PLUGS,ADDRESS,CITY,POSTCODE,BOROUGH,PUBLIC CHARGER?,FEE FOR CITY DRIVERS,LATITUDE,LONGITUDE,COMMUNITY DISTRICT,COUNCIL DISTRICT,CENSUS TRACT 2020,BIN,BBL,NEIGHBORHOOD TABULATION AREA (NTA) (2020)
DOE,NYC FLEET / DOE_EDISONHS-S1,EV Solar Arc Charger,1,165-65 84Th Ave,Queens,11432,Queens,,,40.715389,-73.800369,408,24,452,4211027,4098670002,QN0805
DOE,NYC FLEET / DOE_ELECBUS,Level 2 Charger,2,231 Malta St,East New York,11207,Brooklyn,,,40.655179,-73.892416,305,42,1104,3097770,3043650012,BK0503
DOE,NYC FLEET / DOE_FLATLANDS-1,Level 2 Charger,2,6565 Flatlands Ave,Brooklyn,11236,Brooklyn,,,40.633285,-73.916735,318,46,950,3224139,3079980005,BK1803
DOE,NYC FLEET / DOE_GRANDST,Level 2 Charger,2,128 Waterbury St,Brooklyn,11206,Brooklyn,,,40.711722,-73.937926,301,34,485,3325747,3030210001,BK0104
DOE,NYC FLEET / DOE_HERBLHS-1,Level 2 Charger,1,3000 E Tremont Ave,The Bronx,10462,Bronx,,,40.840733,-73.838685,210,13,194,2074045,2053680001,BX1002
DOE,NYC FLEET / DOE_JADAMSHS1,Level 2 Charger,2,101-01 Rockaway Blvd,Queens,11417,Queens,,,40.679639,-73.837298,410,28,864,4202849,4095400002,QN1001
DOE,NYC FLEET / DOE_JADAMSHS2,Level 2 Charger,2,101-01 Rockaway Blvd,Queens,11417,Queens,,,40.679639,-73.837298,410,28,864,4202849,4095400002,QN1001
DOE,NYC FLEET / DOE_JFKHS#1,Level 2 Charger,2,99 Terrace View Avenue,New York,10463,Manhattan,,,40.877105,-73.912256,208,10,309,1064532,1022150080,BX0802
DOE,NYC FLEET / DOE_JFKHS#2,Level 2 Charger,2,99 Terrace View Ave,The Bronx,10463,Bronx,,,40.877105,-73.912256,208,10,309,1064532,1022150080,BX0802
DOE,NYC FLEET / DOE_JFKHS-S1,EV Solar Arc Charger,1,1-49 Teunissen Pl,Bronx,10463,Bronx,,,40.876606,-73.912839,208,10,309,,,BX0802
DOE,NYC FLEET / DOE_K0001,Level 2 Charger,1,50 Bedford Ave,Brooklyn,11222,Brooklyn,,,40.721981,-73.953281,301,33,517,3066698,3026700001,BK0102
DOE,NYC FLEET / DOE_KNGHWY197#1,Level 2 Charger,1,1599 E 22nd St,Brooklyn,11210,Brooklyn,,,40.612623,-73.951906,314,48,546,3182169,3067690018,BK1403
DOE,NYC FLEET / DOE_M104,Level 2 Charger,2,344-360 2nd Ave,New York,10010,Manhattan,,,40.736103,-73.982196,106,2,64,1081671,1009260001,MN0602
DOE,NYC FLEET / DOE_M466,Level 2 Charger,1,549 Audubon Ave,New York,10040,Manhattan,,,40.855855,-73.92712,112,10,277,1076751,1021600018,MN1202
DOE,NYC FLEET / DOE_M646,Level 2 Charger,1,321 E 96Th St,New York,10128,Manhattan,,,40.783638,-73.945626,111,8,15602,1083927,1016680001,MN1101
DOE,NYC FLEET / DOE_MANORSI-1,Level 2 Charger,2,1220 Manor Rd,Staten Island,10314,Staten Island,,,40.596745,-74.124263,502,50,181,5164530,5009550100,SI0203
DOE,NYC FLEET / DOE_MCCUNE-#1,Level 2 Charger,2,173 West 151st Street,New York,10039,Manhattan,,,40.825191,-73.935731,110,9,236,1060197,1020160060,MN1002
DOE,NYC FLEET / DOE_MTWAIN-1,Level 2 Charger,1,2401 Neptune Ave,Brooklyn,11224,Brooklyn,,,40.578188,-73.99203,313,47,330,3188221,3069650140,BK1302
DOE,NYC FLEET / DOE_MTWAIN-2,Level 2 Charger,2,2401 Neptune Ave,Brooklyn,11224,Brooklyn,,,40.578188,-73.99203,313,47,330,3188221,3069650140,BK1302
DOE,NYC FLEET / DOE_PS59-#1,Level 2 Charger,1,2195 Bathgate Ave,New York,10065,Manhattan,,,,,,,,,,
DOE,NYC FLEET / DOE_PS65#1,Level 2 Charger,2,677 East 141st Street,Bronx,10454,Bronx,,,40.807335,-73.912731,201,8,33,2003834,2025710001,BX0101
DOE,NYC FLEET / DOE_Q142,Level 2 Charger,2,142-10 Linden Blvd,Queens,11436,Queens,,,40.684142,-73.801479,412,28,192,4259200,4119720070,QN1203
DOE,NYC FLEET / DOE_Q430-1,Level 2 Charger,2,58-20 Utopia Pkwy,Queens,11365,Queens,,,40.740724,-73.79283,411,20,1417,4148763,4068820001,QN1101
DOE,NYC FLEET / DOE_Q566,Level 2 Charger,2,74-20 Commonwealth Blvd,Queens,11426,Queens,,,40.746088,-73.727535,413,23,1567,4529899,4078700072,QN1302
DOE,NYC FLEET / DOE_Q80101,Level 2 Charger,2,5-1-5-41 44Th Dr,Long Island City,11101,Queens,,,,,,,,,,
DOE,NYC FLEET / DOE_Q80102,Level 2 Charger,2,44-36 Vernon Blvd,Long Island City,11101,Queens,,,40.749384,-73.952233,402,26,103,4005429,4004890001,QN0201
DOE,NYC FLEET / DOE_Q80103,Level 2 Charger,2,49-16 Vernon Blvd,Queens,11101,Queens,,,40.743237,-73.953941,402,26,701,4000124,4000320003,QN0201
DOE,NYC FLEET / DOE_Q80104,Level 2 Charger,2,49-16 Vernon Blvd,Queens,11101,Queens,,,40.743237,-73.953941,402,26,701,4000124,4000320003,QN0201
DOE,NYC FLEET / DOE_Q80105,Level 2 Charger,2,49-16 Vernon Blvd,Queens,11101,Queens,,,40.743237,-73.953941,402,26,701,4000124,4000320003,QN0201
DOE,NYC FLEET / DOE_Q859LINDEN,Level 2 Charger,2,30-48 Linden Pl,Queens,11354,Queens,,,40.770185,-73.832925,407,20,869,4100749,4043700050,QN0707
DOE,NYC FLEET / DOE_R0002,Level 2 Charger,2,6581 Hylan Blvd,Staten Island,10309,Staten Island,,,40.509084,-74.22093,503,51,198,5000000,5076640001,SI0304
DOE,NYC FLEET / DOE_R002#1,Level 2 Charger,1,333 Midland Ave,Staten Island,10306,Staten Island,,,40.576725,-74.100726,502,50,11203,5053571,5036960100,SI0202
DOE,NYC FLEET / DOE_R826#1,Level 2 Charger,1,6581 Hylan Blvd,Staten Island,10309,Staten Island,,,40.509084,-74.22093,503,51,198,5000000,5076640001,SI0304
DOE,NYC FLEET / DOE_SBCHS-1,Level 2 Charger,1,173 Conover St,Brooklyn,11231,Brooklyn,,,40.677969,-74.014363,306,38,5301,3398190,3005750003,BK0601
DOE,NYC FLEET / DOE_SPRGFLDHS-1,Level 2 Charger,2,143-10 Springfield Blvd,Queens,11413,Queens,,,40.668235,-73.756839,412,31,330,4280845,4130570056,QN1204
DOE,NYC FLEET / DOE_STJOSEPH-1,Level 2 Charger,1,85 St Josephs Ave,Staten Island,10302,Staten Island,,,40.634573,-74.141818,501,49,213,5026076,5011210001,SI0106
DOE,NYC FLEET / DOE_X084-#1,Level 2 Charger,2,1434 Longfellow Avenue,Bronx,10459,Bronx,,,40.830589,-73.887587,203,17,123,2010910,2030070008,BX0303
DOE,NYC FLEET / DOE_X445-1,Level 2 Charger,2,75 W 205th St,Bronx,10468,Bronx,,,40.87759,-73.89104,207,11,409,2094706,2032510201,BX0702
DOE,NYC FLEET / DOE_ZEREGA-1,Level 2 Charger,2,1230 Zerega Ave,The Bronx,10462,Bronx,,,40.833586,-73.845099,209,18,96,2027195,2038420002,BX1001
DOE,NYC FLEET / DOE1230ZEREGAAV,Level 2 Charger,1,1230 Zerega Ave,Bronx,10462,Bronx,,,40.833586,-73.845099,209,18,96,2027195,2038420002,BX1001
DOE,NYC FLEET / DOE90-27SUTPHIN,Level 2 Charger,2,90-24-90-26 Sutphin Blvd,Jamaica,11435,Queens,,,,,,,,,,
DOE,NYC FLEET / DOEFACILITIES 1,Level 2 Charger,2,44-36 Vernon Blvd,Queens,11101,Queens,,,40.749384,-73.952233,402,26,103,4005429,4004890001,QN0201
DOE,NYC FLEET / DOEFACILITIES 2,Level 2 Charger,2,44-36 Vernon Blvd,Queens,11101,Queens,,,40.749384,-73.952233,402,26,103,4005429,4004890001,QN0201
DOE,NYC FLEET / DOEM535,Level 2 Charger,2,525 West 50Th St,New York,10019,Manhattan,,,40.765234,-73.993076,104,3,13501,1083802,1010790029,MN0402
DOE,NYC FLEET / DOEPETRIDES-S1,EV Solar Arc Charger,1,21 Safety City Blvd,Todt Hill,10301,Staten Island,,,,,,,,,,
DOE,NYC FLEET / DOEVERNON_1_L3,Level 3 Fast Charger,1,44-36 Vernon Blvd,Long Island City,11101,Queens,,,40.749384,-73.952233,402,26,103,4005429,4004890001,QN0201
DOE,NYC FLEET / DOEVERNON_2_L3,Level 3 Fast Charger,1,44-36 Vernon Blvd,Queens,11101,Queens,,,40.749384,-73.952233,402,26,103,4005429,4004890001,QN0201
DOE,NYC FLEET / DOEVERNON_3_L3,Level 3 Fast Charger,1,44-36 Vernon Blvd,Queens,11101,Queens,,,40.749384,-73.952233,402,26,103,4005429,4004890001,QN0201
DOE,NYC FLEET / DOEVERNON_4_L3,Level 3 Fast Charger,1,44-36 Vernon Blvd,Queens,11101,Queens,,,40.749384,-73.952233,402,26,103,4005429,4004890001,QN0201
DOE,NYC FLEET / DOEVERNON_5_L3,Level 3 Fast Charger,1,44-36 Vernon Blvd,Queens,11101,Queens,,,40.749384,-73.952233,402,26,103,4005429,4004890001,QN0201
DOE,NYC FLEET / DOEVERNONBLVD-1,Level 2 Charger,1,5-40 44Th Dr,Long Island City,11101,Queens,,,40.749341,-73.954023,402,26,103,4518727,4000240007,QN0201
DOE,NYC FLEET / DOEVERNONBLVD-2,Level 2 Charger,1,44-36 Vernon Blvd,Long Island City,11101,Queens,,,40.749384,-73.952233,402,26,103,4005429,4004890001,QN0201
DOE,NYC FLEET / DOEVERNONBLVD-3,Level 2 Charger,1,44-36 Vernon Blvd,Long Island City,11101,Queens,,,40.749384,-73.952233,402,26,103,4005429,4004890001,QN0201
DOE,NYC FLEET / DOEVERNONBLVD-4,Level 2 Charger,1,44-36 Vernon Boulevard,Long Island City,11101,Queens,,,40.749384,-73.952233,402,26,103,4005429,4004890001,QN0201
DOE,NYC FLEET / DOEVERNONBLVD-5,Level 2 Charger,1,44-36 Vernon Boulevard,Long Island City,11101,Queens,,,40.749384,-73.952233,402,26,103,4005429,4004890001,QN0201
DOE,NYC FLEET / DOEVERNONBLVD-6,Level 2 Charger,1,49-44 Vernon Blvd,Queens,11101,Queens,,,40.743099,-73.953992,402,26,701,,,QN0201
DOE,NYC FLEET / DOEVERNONBLVD-7,Level 2 Charger,1,44-36 Vernon Blvd,Queens,11101,Queens,,,40.749384,-73.952233,402,26,103,4005429,4004890001,QN0201
DOF,NYC FLEET / DOF_STARR#1,Level 2 Charger,2,31-46 Greenpoint Ave,Queens,11101,Queens,,,40.734714,-73.93697,402,26,19901,4003713,4003110023,QN0202
DOF,NYC FLEET / DOF_STARR#2,Level 2 Charger,2,31-32 Greenpoint Ave,Queens,11101,Queens,,,40.73466,-73.93711,402,26,19901,4003709,4003110018,QN0202
DOF,NYC FLEET / DOF_STARR_1_L3,Level 3 Fast Charger,1,3010 Starr Ave,Long Island City,11101,Queens,,,40.737775,-73.938082,402,26,19902,4307187,4002950045,QN0202
DOF,NYC FLEET / DOF_STARR_2_L3,Level 3 Fast Charger,1,3010 Starr Ave,Long Island City,11101,Queens,,,40.737775,-73.938082,402,26,19902,4307187,4002950045,QN0202
DOH,NYC FLEET / DOH_56 DRIVE,Level 2 Charger,1,5617 56Th Dr,Queens,11378,Queens,,,40.72441,-73.914492,402,26,219,4058946,4025850002,QN0501
DOH,NYC FLEET / DOH_BEDFORDHCS1,EV Solar Arc Charger,1,515 Putnam Ave,Bedford-Stuyvesant,11221,Brooklyn,,,40.685146,-73.940431,303,36,277,3051831,3018260070,BK0302
DOT,NYC FLEET / DOT_22STLOT-1,Level 2 Charger,2,41-54 22Nd St,Queens,11101,Queens,,,40.752701,-73.942118,401,26,3301,4542032,4004110010,QN0105
DOT,NYC FLEET / DOT_22STLOT-2,Level 2 Charger,2,41-54 22Nd St,Queens,11101,Queens,,,40.752701,-73.942118,401,26,3301,4542032,4004110010,QN0105
DOT,NYC FLEET / DOT_22STLOT-3,Level 2 Charger,2,41-54 22Nd St,Queens,11101,Queens,,,40.752701,-73.942118,401,26,3301,4542032,4004110010,QN0105
DOT,NYC FLEET / DOT_29ST-S2,EV Solar Arc Charger,1,9 29Th St,Greenwood,11232,Brooklyn,,,40.661018,-74.004859,307,38,1802,3378171,3006620001,BK0702
DOT,NYC FLEET / DOT_448HAMILTON,Level 2 Charger,2,448 Hamilton Ave,Brooklyn,11232,Brooklyn,,,40.670361,-73.997693,307,38,1801,3336712,3006250002,BK0702
DOT,NYC FLEET / DOT_BAT-#1,Level 2 Charger,1,140 58th St,Brooklyn,11220,Brooklyn,,,40.645338,-74.022864,307,38,1804,3414976,3057780001,BK0702
DOT,NYC FLEET / DOT_CNNRYD_1_L3,Level 3 Fast Charger,1,3200 Conner St,East Bronx,10475,Bronx,,,40.880471,-73.821784,210,12,46203,2118086,2052560195,BX1004
DOT,NYC FLEET / DOT_COLUMB-1,Level 2 Charger,1,166 Columbia St,Brooklyn,11231,Brooklyn,,,40.686448,-74.002026,306,39,47,3000000,3003180028,BK0601
DOT,NYC FLEET / DOT_COLUMB-2,Level 2 Charger,1,184 Columbia St,Brooklyn,11231,Brooklyn,,,40.686039,-74.002221,306,39,47,3000000,3003180037,BK0601
DOT,NYC FLEET / DOT_FBF-S1,EV Solar Arc Charger,1,3159 Flatbush Ave,Brooklyn,11234,Brooklyn,,,40.589157,-73.899781,356,46,70202,3397777,3085910075,BK5691
DOT,NYC FLEET / DOT_FRYMT_1_L3,Level 3 Fast Charger,1,1 Bay St,Staten Island,10306,Staten Island,,,40.643733,-74.072789,501,49,3,5141706,5000020001,SI0101
DOT,NYC FLEET / DOT_FRYMT_2_L3,Level 3 Fast Charger,1,1 Bay St,Staten Island,10306,Staten Island,,,40.643733,-74.072789,501,49,3,5141706,5000020001,SI0101
DOT,NYC FLEET / DOT_FRYTRM_1_L3,Level 3 Fast Charger,1,1 Bay St,Staten Island,10301,Staten Island,,,40.643733,-74.072789,501,49,3,5141706,5000020001,SI0101
DOT,NYC FLEET / DOT_FRYTRM_2_L3,Level 3 Fast Charger,1,1 Bay St,Staten Island,10301,Staten Island,,,40.643733,-74.072789,501,49,3,5141706,5000020001,SI0101
DOT,NYC FLEET / DOT_FRYTRM_3_L3,Level 3 Fast Charger,1,1 Bay St,Staten Island,10301,Staten Island,,,40.643733,-74.072789,501,49,3,5141706,5000020001,SI0101
DOT,NYC FLEET / DOT_FRYTRM_4_L3,Level 3 Fast Charger,1,1 Bay St,Staten Island,10301,Staten Island,,,40.643733,-74.072789,501,49,3,5141706,5000020001,SI0101
DOT,NYC FLEET / DOT_FTTOTTEN,Level 2 Charger,2,423 Abbott Rd,Bayside,11359,Queens,,,40.79419,-73.77855,407,19,999,,,QN0761
DOT,NYC FLEET / DOT_GLENDALE-S1,EV Solar Arc Charger,1,69-46 Sybilla St,Queens,11375,Queens,,,40.709174,-73.854849,406,29,645,4095043,4038860558,QN0602
DOT,NYC FLEET / DOT_GLENDALE-S2,EV Solar Arc Charger,1,69-46 Sybilla St,Queens,11375,Queens,,,40.709174,-73.854849,406,29,645,4095043,4038860558,QN0602
DOT,NYC FLEET / DOT_HARPER-S1,EV Solar Arc Charger,1,32-11 Harper St,Flushing,11368,Queens,,,40.764102,-73.842217,407,21,38301,4444576,4017900001,QN0707
DOT,NYC FLEET / DOT_HARPER-S2,EV Solar Arc Charger,1,32-1 Harper St,Corona,11368,Queens,,,40.764388,-73.842368,407,21,38301,4045010,4017900001,QN0707
DOT,NYC FLEET / DOT_KENTAVE-1,Level 2 Charger,1,372 Kent Ave,Brooklyn,11249,Brooklyn,,,40.711965,-73.968027,301,33,549,3335960,3024530001,BK0102
DOT,NYC FLEET / DOT_KENTAVE-2,Level 2 Charger,1,372 Kent Ave,Brooklyn,11249,Brooklyn,,,40.711965,-73.968027,301,33,549,3335960,3024530001,BK0102
DOT,NYC FLEET / DOT_KENTAVE-3,Level 2 Charger,1,372 Kent Ave,Brooklyn,11249,Brooklyn,,,40.711965,-73.968027,301,33,549,3335960,3024530001,BK0102
DOT,NYC FLEET / DOT_OLDSLIP-1,Level 2 Charger,1,32 Old Slip,New York,10005,Manhattan,,,40.703573,-74.008036,101,1,7,1000867,1000350001,MN0101
DOT,NYC FLEET / DOT_OLDSLIP-2,Level 2 Charger,1,32 Old Slip,New York,10005,Manhattan,,,40.703573,-74.008036,101,1,7,1000867,1000350001,MN0101
DOT,NYC FLEET / DOT_OLDSLIP-3,Level 2 Charger,1,42 South St,New York,10005,Manhattan,,,40.703466,-74.007538,101,1,7,1000867,1000350001,MN0101
DOT,NYC FLEET / DOT_OLDSLIP-4,Level 2 Charger,1,42 South St,New York,10005,Manhattan,,,40.703466,-74.007538,101,1,7,1000867,1000350001,MN0101
DOT,NYC FLEET / DOT_PIER36#1,Level 2 Charger,2,299 South St,New York,10002,Manhattan,,,40.710508,-73.986196,103,1,201,1079600,1002410013,MN0301
DOT,NYC FLEET / DOT_PIER36#2,Level 2 Charger,2,299 South St,New York,10002,Manhattan,,,40.710508,-73.986196,103,1,201,1079600,1002410013,MN0301
DOT,NYC FLEET / DOT_PIER36-S1,EV Solar Arc Charger,1,299 South St,New York,10002,Manhattan,,,40.710508,-73.986196,103,1,201,1079600,1002410013,MN0301
DOT,NYC FLEET / DOT_PTIVRY_1_L3,Level 3 Fast Charger,1,3551 Richmond Terrace,Staten Island,10303,Brooklyn,,,40.64085,-74.173771,501,49,323,5028635,5013010001,SI0107
DOT,NYC FLEET / DOT_ROSEDALE-1,Level 2 Charger,2,240- 2 128th Ave,Queens,11422,Queens,,,,,,,,,,
DOT,NYC FLEET / DOT_ROSEDALE-2,Level 2 Charger,2,240- 2 128th Ave,Queens,11422,Queens,,,,,,,,,,
DOT,NYC FLEET / DOT_SIFERRYTERM,Level 2 Charger,2,10 Richmond Terrace,Mid Island,10301,Staten Island,,,40.642367,-74.075274,501,49,3,5000063,5000070001,SI0101
DOT,NYC FLEET / DOT_SIREPAIR-1,Level 2 Charger,1,5 Dubois Ave,Staten Island,10310,Staten Island,,,40.631925,-74.129397,501,49,13302,5104536,5002150100,SI0106
DOT,NYC FLEET / DOT_SISIMYARD,Level 2 Charger,2,99-2703 Richmond Terrace,Staten Island,10303,Staten Island,,,40.644935,-74.077204,501,49,7,,,SI0101
DOT,NYC FLEET / DOT_VERNONYARD,Level 2 Charger,2,4200 Vernon Blvd,LIC,11101,Queens,,,40.754395,-73.94923,402,26,103,4005413,4004770007,QN0201
DOT,NYC FLEET / DOT_WAVEST-#1,Level 2 Charger,2,34 Wave St,Staten Island,10304,Staten Island,,,40.629667,-74.076027,501,49,21,5013187,5004890048,SI0102
DOT,NYC FLEET / DOT_WBSTR_1_L3,Level 3 Fast Charger,1,2144 Webster Ave,Belmont,10457,Bronx,,,40.853544,-73.897301,206,15,379,2011136,2030300028,BX0502
DOT,NYC FLEET / DOT_WBSTR_2_L3,Level 3 Fast Charger,1,2144 Webster Ave,Fordham Heights,10457,Bronx,,,40.853544,-73.897301,206,15,379,2011136,2030300028,BX0502
DOT,NYC FLEET / DOT_WHTHLLFRY-1,Level 2 Charger,2,1 South Street,New York,10004,Manhattan,,,40.701283,-74.014578,101,1,319,1000004,1000030010,MN0191
DOT,NYC FLEET / DOT_WILLIAMSBR,Level 2 Charger,2,1400 Williamsbridge Road,The Bronx,10461,Bronx,,,40.842206,-73.844168,210,18,200,2044091,2040740001,BX1001
DOT,NYC FLEET / DOT_WLMSBG_1_L3,Level 3 Fast Charger,1,101 Varick Ave,Brooklyn,11237,Brooklyn,,,40.70904,-73.927616,301,34,44902,3331483,3029740113,BK0104
DOT,NYC FLEET / DOT2811QNSPLAZA,Level 2 Charger,1,28-11 Queens Plaza North,Queens,11101,Queens,,,40.75008,-73.938208,401,26,3301,4005022,4004170002,QN0105
DOT,NYC FLEET / DOTFLATLANDS-S1,EV Solar Arc Charger,1,928 E 76Th St,Canarsie,11236,Brooklyn,,,40.633144,-73.91573,318,46,998,3325351,3080120400,BK1803
DOT,NYC FLEET / DOTFLTLNDS_1_L3,Level 3 Fast Charger,1,6080 Flatlands Ave,Canarsie,11236,Brooklyn,,,40.633452,-73.916446,318,46,998,3325350,3080120400,BK1803
DOT,NYC FLEET / DOTHPRASPH_1_L3,Level 3 Fast Charger,1,32-1 Harper St,Corona,11368,Queens,,,40.764388,-73.842368,407,21,38301,4045010,4017900001,QN0707
DOT,NYC FLEET / DOTHPRASPH_2_L3,Level 3 Fast Charger,1,32-1 Harper St,Corona,11368,Queens,,,40.764388,-73.842368,407,21,38301,4045010,4017900001,QN0707
DOT,NYC FLEET / DOTMASPETHQNS-1,Level 2 Charger,1,58-50 57th Rd,Maspeth,11378,Queens,,,40.722386,-73.910043,405,30,531,4059838,4026750015,QN0501
DOT,NYC FLEET / DOTMASPETHQNS-2,Level 2 Charger,1,58-50 57th R,Maspeth,11378,Queens,,,,,,,,,,
DOT,NYC FLEET / DOTMSPTH_SHP_1,Level 2 Charger,1,57-50 57Th Rd,Maspeth,11378,Queens,,,40.722361,-73.912677,405,30,531,4567284,4026710001,QN0501
DOT,NYC FLEET / DOTMSPTH_SHP_2,Level 2 Charger,1,57-50 57Th Rd,Maspeth,11378,Queens,,,40.722361,-73.912677,405,30,531,4567284,4026710001,QN0501
DOT,NYC FLEET / DOTPITKIN_B1_L3,Level 3 Fast Charger - Boost,2,88-26 Pitkin Ave,Queens,11417,Queens,,,40.673779,-73.847565,410,32,58,4539787,4113680020,QN1002
DOT,NYC FLEET / DOTPITKINAVE-1,Level 2 Charger,1,88-26 Pitkin Ave,Queens,11417,Queens,,,40.673779,-73.847565,410,32,58,4539787,4113680020,QN1002
DOT,NYC FLEET / DOTPITKINAVE-2,Level 2 Charger,1,88-26 Pitkin Ave,Queens,11417,Queens,,,40.673779,-73.847565,410,32,58,4539787,4113680020,QN1002
DOT,NYC FLEET / DOTPITKINAVE-3,Level 2 Charger,1,88-26 Pitkin Ave,Queens,11417,Queens,,,40.673779,-73.847565,410,32,58,4539787,4113680020,QN1002
DOT,NYC FLEET / DOTQNSBLVD-1,Level 2 Charger,1,34-2 Queens Blvd,Queens,11101,Queens,,,40.744537,-73.930602,402,26,17902,4003435,4002460001,QN0202
DOT,NYC FLEET / DOTQNSBLVD-2,Level 2 Charger,1,34-2 Queens Blvd,Queens,11101,Queens,,,40.744537,-73.930602,402,26,17902,4003435,4002460001,QN0202
DOT,NYC FLEET / DOTQNSBLVD-3,Level 2 Charger,1,34-2 Queens Blvd,Queens,11101,Queens,,,40.744537,-73.930602,402,26,17902,4003435,4002460001,QN0202
DOT,NYC FLEET / DOTQNSBLVD-4,Level 2 Charger,1,34-2 Queens Blvd,Queens,11101,Queens,,,40.744537,-73.930602,402,26,17902,4003435,4002460001,QN0202
DOT,NYC FLEET / DOTSIDUBOIS,Level 2 Charger,1,5 Dubois Ave,Staten Island,10310,Staten Island,,,40.631925,-74.129397,501,49,13302,5104536,5002150100,SI0106
DPR,NYC FLEET / DPR_5BORO#4A-B,Level 2 Charger,2,14 Bronx Shore Rd,New York,10035,Manhattan,,,40.79872,-73.921194,111,8,240,1088069,1018190203,MN1191
DPR,NYC FLEET / DPR_5BORO#9A-B,Level 2 Charger,2,13 Bronx Shore Rd,New York,10035,Manhattan,,,,,,,,,,
DPR,NYC FLEET / DPR_5BORO-S2,EV Solar Arc Charger,1,37-49 Bronx Shore Rd,New York,10035,Manhattan,,,40.800068,-73.925671,111,8,240,1088067,1018190203,MN1191
DPR,NYC FLEET / DPR_5BORO-S3,EV Solar Arc Charger,1,14 Bronx Shore Rd,New York,10035,Manhattan,,,40.79872,-73.921194,111,8,240,1088069,1018190203,MN1191
DPR,NYC FLEET / DPR_ALLIED1,Level 2 Charger,2,13 East Rd,Corona,11368,Queens,,,40.753928,-73.838823,481,21,38302,4439847,4020180001,QN8191
DPR,NYC FLEET / DPR_ALLIED2,Level 2 Charger,2,13 East Rd,Corona,11368,Queens,,,40.753928,-73.838823,481,21,38302,4439847,4020180001,QN8191
DPR,NYC FLEET / DPR_ALLIED3,Level 2 Charger,2,15 East Rd,Corona,11368,Queens,,,40.754021,-73.838509,481,21,38302,4541447,4020180001,QN8191
DPR,NYC FLEET / DPR_ALLIED4,Level 2 Charger,2,15 East Rd,Corona,11368,Queens,,,40.754021,-73.838509,481,21,38302,4541447,4020180001,QN8191
DPR,NYC FLEET / DPR_ALLIED5,Level 2 Charger,2,15 East Rd,Corona,11368,Queens,,,40.754021,-73.838509,481,21,38302,4541447,4020180001,QN8191
DPR,NYC FLEET / DPR_ALLIED-S#11,EV Solar Arc Charger,1,15 East Rd,Corona,11368,Queens,,,40.754021,-73.838509,481,21,38302,4541447,4020180001,QN8191
DPR,NYC FLEET / DPR_ALLIED-S#12,EV Solar Arc Charger,1,13 East Rd,Corona,11368,Queens,,,40.753928,-73.838823,481,21,38302,4439847,4020180001,QN8191
DPR,NYC FLEET / DPR_ALLIED-S#13,EV Solar Arc Charger,1,15 East Rd,Corona,11368,Queens,,,40.754021,-73.838509,481,21,38302,4541447,4020180001,QN8191
DPR,NYC FLEET / DPR_ALLIED-S#14,EV Solar Arc Charger,1,13 East Rd,Corona,11368,Queens,,,40.753928,-73.838823,481,21,38302,4439847,4020180001,QN8191
DPR,NYC FLEET / DPR_ALOERTER#1,Level 2 Charger,2,131-40 Fowler Ave,Flushing,11355,Queens,,,40.751616,-73.834155,407,20,38302,4540092,4020180001,QN8191
DPR,NYC FLEET / DPR_ALOERTER#2,Level 2 Charger,2,131-40 Fowler Ave,Brooklyn,11355,Queens,,,40.751616,-73.834155,407,20,38302,4540092,4020180001,QN8191
DPR,NYC FLEET / DPR_ALOERTER4#5,Level 2 Charger,2,131-40 Fowler Ave,Flushing,11355,Queens,,,40.751616,-73.834155,407,20,38302,4540092,4020180001,QN8191
DPR,NYC FLEET / DPR_ANCHPL-S1,EV Solar Arc Charger,1,82 Old Fulton St.,Brooklyn,11201,Brooklyn,,,40.70138,-73.991723,302,33,1,,,BK0201
DPR,NYC FLEET / DPR_ARAMRK_1_L3,Level 3 Fast Charger,1,850 E 138th St,Bronx,10454,Bronx,,,40.803141,-73.909049,201,8,1903,2086438,2025890031,BX0101
DPR,NYC FLEET / DPR_ARAMRK_2_L3,Level 3 Fast Charger,1,850 E 138th St,Bronx,10454,Bronx,,,40.803141,-73.909049,201,8,1903,2086438,2025890031,BX0101
DPR,NYC FLEET / DPR_ARSENAL17,Level 2 Charger,1,East Dr,New York,10019,Manhattan,,,,,,,,,,
DPR,NYC FLEET / DPR_ARSENAL18,Level 2 Charger,1,East Dr,New York,10024,Manhattan,,,,,,,,,,
DPR,NYC FLEET / DPR_BAISLEY-S1,EV Solar Arc Charger,1,118- 9 155th St,Queens,11434,Queens,,,40.681157999999996,-73.787784,412,28,28803,4265591,4122290001,QN1203
DPR,NYC FLEET / DPR_BAY8TH#1,Level 2 Charger,2,Independence Ave,Brooklyn,11228,Brooklyn,,,,,,,,,,
DPR,NYC FLEET / DPR_BAY8TH#2,Level 2 Charger,2,330 Bay 8th St,Brooklyn,11228,Brooklyn,,,40.605116,-74.017319,310,50,154,3402737,3064180001,BK1091
DPR,NYC FLEET / DPR_BKSHOPS#1,Level 2 Charger,2,48 West Drive,Brooklyn,11215,Brooklyn,,,40.664986999999996,-73.973384,355,39,177,3411717,3011170001,BK5591
DPR,NYC FLEET / DPR_BKSHOPS#2,Level 2 Charger,2,46 West Dr,Brooklyn,11215,Brooklyn,,,40.665253,-73.973164,355,39,177,3347254,3011170001,BK5591
